markerId,markerType,latitude,longitude,complexName,realEstateTypeCode,realEstateTypeName,completionYearMonth,totalDongCount,totalHouseholdCount,floorAreaRatio,minArea,maxArea,representativeArea,etRoomCnt,minMviFee,maxMviFee,sameAddrCnt,priceCount,isPresales,photoCount,dealCount,leaseCount,rentCount,shortTermRentCount,totalArticleCount,existPriceTab,isComplexTourExist,매매가,보증금,월세,매매_최저가,매매_최고가,전세_최저가,전세_최고가,월세_최저가,월세_최고가,매매유형,지하철역명,지하철_거리_미터,지하철_도보_분,초등학교,중학교,고등학교,구,동,매물유형,수집시간
126260,COMPLEX,37.491731,127.145628,엘리트하우스(도시형),APT,아파트,201905,1,14,199,36.77,64.2,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,거여역5호선,241,3,"서울거원초등학교, 서울영풍초등학교, 서울마천초등학교","거원중학교, 위례솔중학교, 보인중학교","서울인공지능고등학교, 덕수고등학교, 보인고등학교",송파구,거여동,아파트/오피스텔,2025.10.8 2:39
134599,COMPLEX,37.492789,127.143811,센트럴타운(주상복합),APT,아파트,201911,1,6,312,38.08,39.84,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,거여역5호선,60,0,"서울영풍초등학교, 서울거원초등학교, 서울개롱초등학교","거원중학교, 보인중학교, 위례솔중학교","서울인공지능고등학교, 보인고등학교, 덕수고등학교",송파구,거여동,아파트/오피스텔,2025.10.8 2:39
139489,COMPLEX,37.499145,127.140396,우영채움빌,APT,아파트,201704,2,16,188,50.13,57.33,57.33,0,0,0,0,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,개롱역5호선,486,7,"서울개롱초등학교, 서울영풍초등학교, 서울거여초등학교","보인중학교, 오주중학교, 송파중학교","보인고등학교, 서울인공지능고등학교",송파구,거여동,아파트/오피스텔,2025.10.8 2:39
115033,COMPLEX,37.498904,127.147392,주성아우라(주상복합),APT,아파트,201612,1,8,249,60.48,60.48,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,마천역5호선,646,9,"서울남천초등학교, 서울영풍초등학교, 서울마천초등학교",보인중학교,"보인고등학교, 서울인공지능고등학교",송파구,거여동,아파트/오피스텔,2025.10.8 2:39
115035,COMPLEX,37.498901,127.147395,주성아우라,OPST,오피스텔,201612,1,6,249,73.07,73.07,73.07,0,0,0,0,0,FALSE,0,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,,마천역5호선,645,9,"서울남천초등학교, 서울영풍초등학교, 서울마천초등학교",보인중학교,"보인고등학교, 서울인공지능고등학교",송파구,거여동,아파트/오피스텔,2025.10.8 2:39
103700,COMPLEX,37.492623,127.144979,SH(주상복합),APT,아파트,200303,1,6,314,87.02,87.02,87,0,0,0,0,1,FALSE,0,0,7,0,0,7,FALSE,FALSE,0,0,0,0,0,50000,50000,0,0,전세,거여역5호선,132,1,"서울영풍초등학교, 서울거원초등학교, 서울개롱초등학교","거원중학교, 위례솔중학교, 보인중학교","서울인공지능고등학교, 보인고등학교, 덕수고등학교",송파구,거여동,아파트/오피스텔,2025.10.8 2:39
9203,COMPLEX,37.49825,127.14502,성동레인보우,APT,아파트,200012,1,42,212,77.17,113.74,113,0,0,0,0,1,FALSE,0,6,0,0,0,6,TRUE,FALSE,0,0,0,60000,85000,0,0,0,0,매매,거여역5호선,557,8,"서울영풍초등학교, 서울개롱초등학교, 서울남천초등학교","보인중학교, 오주중학교","보인고등학교, 서울인공지능고등학교",송파구,거여동,아파트/오피스텔,2025.10.8 2:39
101289,COMPLEX,37.494045,127.137284,주성드림빌,APT,아파트,200310,1,12,277,94.64,94.64,94,0,0,0,0,1,FALSE,0,1,0,0,0,1,TRUE,FALSE,0,0,0,75000,75000,0,0,0,0,매매,개롱역5호선,477,7,"서울개롱초등학교, 서울영풍초등학교, 서울가주초등학교","보인중학교, 송파중학교, 오주중학교","보인고등학교, 서울인공지능고등학교",송파구,거여동,아파트/오피스텔,2025.10.8 2:39
100684,COMPLEX,37.499818,127.143522,솔렌시아(주상복합),APT,아파트,200312,1,19,395,96.44,97.48,97,0,0,0,0,3,FALSE,0,1,1,1,0,3,TRUE,FALSE,0,0,0,75000,75000,55000,55000,50,50,"매매, 전세, 월세",거여역5호선,721,10,"서울영풍초등학교, 서울개롱초등학교, 서울거여초등학교","보인중학교, 오주중학교","보인고등학교, 서울인공지능고등학교",송파구,거여동,아파트/오피스텔,2025.10.8 2:39
1275,COMPLEX,37.497322,127.151914,한보,APT,아파트,199805,1,84,212,56.37,137.17,71,0,0,0,0,1,FALSE,0,4,0,0,0,4,TRUE,FALSE,0,0,0,80000,157000,0,0,0,0,매매,마천역5호선,267,3,"서울마천초등학교, 서울남천초등학교, 서울영풍초등학교",,,송파구,거여동,아파트/오피스텔,2025.10.8 2:39
102944,COMPLEX,37.498279,127.143444,팰리스힐,APT,아파트,200908,1,19,195,96.94,97.92,97,0,0,0,0,2,FALSE,0,4,3,0,0,7,TRUE,FALSE,0,0,0,72000,72000,54000,55000,0,0,"매매, 전세",거여역5호선,551,8,"서울영풍초등학교, 서울개롱초등학교, 서울남천초등학교","보인중학교, 오주중학교","보인고등학교, 서울인공지능고등학교",송파구,거여동,아파트/오피스텔,2025.10.8 2:39
148846,COMPLEX,37.486973,127.142994,수아주,OPST,오피스텔,202208,1,279,799,26.56,26.66,26,0,0,0,0,2,FALSE,0,37,0,36,0,73,TRUE,FALSE,0,0,0,15500,23000,0,0,30,100,"매매, 월세",거여역5호선,710,10,"서울거원초등학교, 산빛초등학교 (2027년예정), 서울위례솔초등학교","거원중학교, 위례솔중학교","덕수고등학교, 서울인공지능고등학교, 한림연예예술고등학교",송파구,거여동,아파트/오피스텔,2025.10.8 2:39
