단지명,단지코드,세대수,동수,준공년월,최소전용,최대전용,용적률,매매_최저가,매매_최고가,전세_최저가,전세_최고가,월세_최저가,월세_최고가,매매_거래건수,전세_거래건수,월세_거래건수,총_거래건수,전세가율,갭,평당매매가,면적요약,매매_최저가_억원,매매_최고가_억원,전세_최저가_억원,전세_최고가_억원,월세_최저가_억원,월세_최고가_억원,갭_억원,평당매매가_억원,단지요약,구,동,수집시간,단지명_정제,기본주소,상세주소,원본주소,위도,경도,변환방법,사용된주소
제일,12379,331,1,199209,56.8,111.84,709,21000,35000,0,0,40,85,4,0,3,7,0.0,0,1222,17~34평,"2억 1,000만","3억 5,000만",,,40만,85만,,"1,222만",총 331세대 | 1개동 | 17~34평 | 1992년 준공,송파구,가락동,2025-09-12 22:41,제일,서울 송파구 가락동,서울 송파구 가락동 제일,서울 송파구 가락동 제일,37.493332122553056,127.11875161577926,원본 키워드 검색,서울 송파구 가락동 제일
한화오벨리스크,21920,258,1,200411,54.85,102.98,746,17500,52500,0,0,75,130,14,0,2,16,0.0,0,1055,17~31평,"1억 7,500만","5억 2,500만",,,75만,130만,,"1,055만",총 258세대 | 1개동 | 17~31평 | 2004년 준공,송파구,가락동,2025-09-12 22:41,한화오벨리스크,서울 송파구 가락동,서울 송파구 가락동 한화오벨리스크,서울 송파구 가락동 한화오벨리스크,37.49482725596387,127.12193271122331,원본 키워드 검색,서울 송파구 가락동 한화오벨리스크
엠파크,127398,4,1,201311,64.82,64.82,359,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20평,,,,,,,,,총 4세대 | 1개동 | 20평 | 2013년 준공,송파구,가락동,2025-09-12 22:41,엠,서울 송파구 가락동,서울 송파구 가락동 엠,서울 송파구 가락동 엠파크,37.497130582345,127.133282296317,원본 키워드 검색,서울 송파구 가락동 엠파크
현진타워,114730,19,1,201505,54.68,54.68,345,32000,32000,0,0,0,0,1,0,0,1,0.0,0,1935,17평,"3억 2,000만","3억 2,000만",,,,,,"1,935만",총 19세대 | 1개동 | 17평 | 2015년 준공,송파구,가락동,2025-09-12 22:41,현진,서울 송파구 가락동,서울 송파구 가락동 현진,서울 송파구 가락동 현진타워,37.4976059360982,127.13441060787319,원본 키워드 검색,서울 송파구 가락동 현진타워
뉴훼미리,12372,60,1,199001,32.93,101.47,416,0,0,0,0,0,0,0,0,0,0,0.0,0,0,10~31평,,,,,,,,,총 60세대 | 1개동 | 10~31평 | 1990년 준공,송파구,가락동,2025-09-12 22:41,뉴훼미리,서울 송파구 가락동,서울 송파구 가락동 뉴훼미리,서울 송파구 가락동 뉴훼미리,37.494209116132176,127.1184386396304,원본 키워드 검색,서울 송파구 가락동 뉴훼미리
세화,12377,92,1,199106,40.95,74.11,478,14500,14500,0,0,35,60,3,0,9,12,0.0,0,1171,12~22평,"1억 4,500만","1억 4,500만",,,35만,60만,,"1,171만",총 92세대 | 1개동 | 12~22평 | 1991년 준공,송파구,가락동,2025-09-12 22:41,세화,서울 송파구 가락동,서울 송파구 가락동 세화,서울 송파구 가락동 세화,37.49414783817876,127.12023200328272,원본 키워드 검색,서울 송파구 가락동 세화
올림피아,12380,116,1,199009,56.12,56.12,348,12000,13000,0,0,65,65,3,0,1,4,0.0,0,707,17평,"1억 2,000만","1억 3,000만",,,65만,65만,,707만,총 116세대 | 1개동 | 17평 | 1990년 준공,송파구,가락동,2025-09-12 22:41,올림피아,서울 송파구 가락동,서울 송파구 가락동 올림피아,서울 송파구 가락동 올림피아,37.49472788819112,127.12130720840074,원본 키워드 검색,서울 송파구 가락동 올림피아
밀리아나,12375,97,1,199010,61.6,123.1,488,13000,22500,0,0,45,75,2,0,5,7,0.0,0,698,19~37평,"1억 3,000만","2억 2,500만",,,45만,75만,,698만,총 97세대 | 1개동 | 19~37평 | 1990년 준공,송파구,가락동,2025-09-12 22:41,밀리아나,서울 송파구 가락동,서울 송파구 가락동 밀리아나,서울 송파구 가락동 밀리아나,37.49371707682338,127.1194227901658,원본 키워드 검색,서울 송파구 가락동 밀리아나
송파KCC웰츠타워,101586,183,1,201107,81.98,121.85,799,25500,55000,0,0,100,105,12,0,4,16,0.0,0,1028,25~37평,"2억 5,500만","5억 5,000만",,,100만,105만,,"1,028만",총 183세대 | 1개동 | 25~37평 | 2011년 준공,송파구,가락동,2025-09-12 22:41,송파KCC웰츠,서울 송파구 가락동,서울 송파구 가락동 송파KCC웰츠,서울 송파구 가락동 송파KCC웰츠타워,37.49572713195661,127.12215468631301,원본 키워드 검색,서울 송파구 가락동 송파KCC웰츠타워
송파가락두산위브센티움,18121,100,1,200403,53.94,68.75,673,14500,19000,0,0,75,75,6,0,1,7,0.0,0,889,16~21평,"1억 4,500만","1억 9,000만",,,75만,75만,,889만,총 100세대 | 1개동 | 16~21평 | 2004년 준공,송파구,가락동,2025-09-12 22:41,송파가락두산위브센티움,서울 송파구 가락동,서울 송파구 가락동 송파가락두산위브센티움,서울 송파구 가락동 송파가락두산위브센티움,37.494594926364016,127.1191561850091,원본 키워드 검색,서울 송파구 가락동 송파가락두산위브센티움
엠스테이트,107756,730,1,201609,52.2,107.41,0,23600,75000,38000,38000,17,110,62,7,21,90,161.0,-14400,1495,16~32평,"2억 3,600만","7억 5,000만","3억 8,000만","3억 8,000만",17만,110만,,"1,495만",총 730세대 | 1개동 | 16~32평 | 2016년 준공,송파구,문정동,2025-09-12 22:42,엠스테이트,서울 송파구 문정동,서울 송파구 문정동 엠스테이트,서울 송파구 문정동 엠스테이트,37.48574350550251,127.11997430647607,원본 키워드 검색,서울 송파구 문정동 엠스테이트
프라비다옥토,109623,234,1,201609,28.66,63.2,597,16500,38000,18000,34400,10,85,23,5,12,40,109.1,-1500,1903,9~19평,"1억 6,500만","3억 8,000만","1억 8,000만","3억 4,400만",10만,85만,,"1,903만",총 234세대 | 1개동 | 9~19평 | 2016년 준공,송파구,문정동,2025-09-12 22:42,프라비다옥토,서울 송파구 문정동,서울 송파구 문정동 프라비다옥토,서울 송파구 문정동 프라비다옥토,37.48317215237545,127.12248813425042,원본 키워드 검색,서울 송파구 문정동 프라비다옥토
송파법조타운푸르지오시티,110904,619,1,201801,41.11,112.79,599,18000,65000,45000,47000,10,110,31,3,43,77,250.0,-27000,1447,12~34평,"1억 8,000만","6억 5,000만","4억 5,000만","4억 7,000만",10만,110만,,"1,447만",총 619세대 | 1개동 | 12~34평 | 2018년 준공,송파구,문정동,2025-09-12 22:42,송파법조타운푸르지오,서울 송파구 문정동,서울 송파구 문정동 송파법조타운푸르지오,서울 송파구 문정동 송파법조타운푸르지오시티,37.48291420067132,127.12187151545646,원본 키워드 검색,서울 송파구 문정동 송파법조타운푸르지오시티
송파파크하비오푸르지오,107546,3636,5,201609,41.89,114.8,599,19000,82000,19000,56000,6,180,403,20,176,599,100.0,0,1499,13~35평,"1억 9,000만","8억 2,000만","1억 9,000만","5억 6,000만",6만,180만,,"1,499만","총 3,636세대 | 5개동 | 13~35평 | 2016년 준공",송파구,문정동,2025-09-12 22:42,송파파크하비오푸르지오,서울 송파구 문정동,서울 송파구 문정동 송파파크하비오푸르지오,서울 송파구 문정동 송파파크하비오푸르지오,37.48035553536787,127.12341628099882,원본 키워드 검색,서울 송파구 문정동 송파파크하비오푸르지오
송파푸르지오시티,103499,1249,1,201307,48.42,102.07,599,18200,53000,19000,45000,15,115,77,6,29,112,104.4,-800,1243,15~31평,"1억 8,200만","5억 3,000만","1억 9,000만","4억 5,000만",15만,115만,,"1,243만","총 1,249세대 | 1개동 | 15~31평 | 2013년 준공",송파구,문정동,2025-09-12 22:42,송파푸르지오,서울 송파구 문정동,서울 송파구 문정동 송파푸르지오,서울 송파구 문정동 송파푸르지오시티,37.48088497056379,127.12115028394116,원본 키워드 검색,서울 송파구 문정동 송파푸르지오시티
문정헤브론,20947,40,1,200410,26.82,32.58,299,14000,16500,0,0,0,0,4,0,0,4,0.0,0,1726,8~10평,"1억 4,000만","1억 6,500만",,,,,,"1,726만",총 40세대 | 1개동 | 8~10평 | 2004년 준공,송파구,문정동,2025-09-12 22:42,문정헤브론,서울 송파구 문정동,서울 송파구 문정동 문정헤브론,서울 송파구 문정동 문정헤브론,37.48562215396431,127.12319993899585,원본 키워드 검색,서울 송파구 문정동 문정헤브론
송파아이파크,105831,1357,5,201507,51.62,119.71,599,21000,92000,20700,50400,14,270,137,6,44,187,98.6,300,1345,16~36평,"2억 1,000만","9억 2,000만",2억 700만,5억 400만,14만,270만,300만,"1,345만","총 1,357세대 | 5개동 | 16~36평 | 2015년 준공",송파구,문정동,2025-09-12 22:42,송파아이,서울 송파구 문정동,서울 송파구 문정동 송파아이,서울 송파구 문정동 송파아이파크,37.4798698695651,127.1217003740299,원본 키워드 검색,서울 송파구 문정동 송파아이파크
송파한화오벨리스크,103052,1532,4,201305,43.59,143.96,599,18200,76000,19000,22000,5,210,122,10,70,202,104.4,-800,1380,13~44평,"1억 8,200만","7억 6,000만","1억 9,000만","2억 2,000만",5만,210만,,"1,380만","총 1,532세대 | 4개동 | 13~44평 | 2013년 준공",송파구,문정동,2025-09-12 22:42,송파한화오벨리스크,서울 송파구 문정동,서울 송파구 문정동 송파한화오벨리스크,서울 송파구 문정동 송파한화오벨리스크,37.48009447977807,127.11968262533378,원본 키워드 검색,서울 송파구 문정동 송파한화오벨리스크
문정아이파크,110619,634,1,201711,46.38,83.29,599,20800,55000,18000,18000,20,100,49,2,18,69,86.5,2800,1483,14~25평,2억 800만,"5억 5,000만","1억 8,000만","1억 8,000만",20만,100만,"2,800만","1,483만",총 634세대 | 1개동 | 14~25평 | 2017년 준공,송파구,문정동,2025-09-12 22:42,문정아이,서울 송파구 문정동,서울 송파구 문정동 문정아이,서울 송파구 문정동 문정아이파크,37.48228255412067,127.12191006151544,원본 키워드 검색,서울 송파구 문정동 문정아이파크
힐스테이트에코문정,111600,531,1,201803,43.04,89.5,599,18800,55000,0,0,4,100,33,0,22,55,0.0,0,1444,13~27평,"1억 8,800만","5억 5,000만",,,4만,100만,,"1,444만",총 531세대 | 1개동 | 13~27평 | 2018년 준공,송파구,문정동,2025-09-12 22:42,힐스테이트에코문정,서울 송파구 문정동,서울 송파구 문정동 힐스테이트에코문정,서울 송파구 문정동 힐스테이트에코문정,37.48259335514048,127.12282524869235,원본 키워드 검색,서울 송파구 문정동 힐스테이트에코문정
문정오벨리스크,111032,423,1,201802,48.57,108.55,599,21000,55000,0,0,85,130,25,0,7,32,0.0,0,1429,15~33평,"2억 1,000만","5억 5,000만",,,85만,130만,,"1,429만",총 423세대 | 1개동 | 15~33평 | 2018년 준공,송파구,문정동,2025-09-12 22:42,문정오벨리스크,서울 송파구 문정동,서울 송파구 문정동 문정오벨리스크,서울 송파구 문정동 문정오벨리스크,37.48336438742881,127.12304698657859,원본 키워드 검색,서울 송파구 문정동 문정오벨리스크
르피에드문정,129285,262,1,202210,74.01,262.33,604,47500,400000,58000,65000,150,1000,92,9,148,249,122.1,-10500,2122,22~79평,"4억 7,500만",40억,"5억 8,000만","6억 5,000만",150만,"1,000만",,"2,122만",총 262세대 | 1개동 | 22~79평 | 2022년 준공,송파구,문정동,2025-09-12 22:42,르피에드문정,서울 송파구 문정동,서울 송파구 문정동 르피에드문정,서울 송파구 문정동 르피에드문정,37.482882971706466,127.12331302754035,원본 키워드 검색,서울 송파구 문정동 르피에드문정
방이(보보스빌),110620,14,1,200112,29.73,47.01,279,0,0,0,0,0,0,0,0,0,0,0.0,0,0,9~14평,,,,,,,,,총 14세대 | 1개동 | 9~14평 | 2001년 준공,송파구,방이동,2025-09-12 22:43,방이,서울 송파구 방이동,서울 송파구 방이동 방이,서울 송파구 방이동 방이(보보스빌),37.5110126423949,127.123923689605,원본 주소,서울 송파구 방이동 방이(보보스빌)
효성올림픽카운티,21921,30,1,200309,59.74,87.86,962,35000,50000,0,0,0,0,8,0,0,8,0.0,0,1937,18~27평,"3억 5,000만",5억,,,,,,"1,937만",총 30세대 | 1개동 | 18~27평 | 2003년 준공,송파구,방이동,2025-09-12 22:43,효성올림픽카운티,서울 송파구 방이동,서울 송파구 방이동 효성올림픽카운티,서울 송파구 방이동 효성올림픽카운티,37.51492170910598,127.11448755744435,원본 키워드 검색,서울 송파구 방이동 효성올림픽카운티
인텍스파크텔,18156,37,1,200208,28.6,28.6,268,0,0,9000,9000,0,0,0,1,0,1,0.0,0,0,9평,,,"9,000만","9,000만",,,,,총 37세대 | 1개동 | 9평 | 2002년 준공,송파구,방이동,2025-09-12 22:43,인텍스파크텔,서울 송파구 방이동,서울 송파구 방이동 인텍스파크텔,서울 송파구 방이동 인텍스파크텔,37.50710325127688,127.11948708934202,원본 키워드 검색,서울 송파구 방이동 인텍스파크텔
제노비아,102263,14,1,201005,90.93,90.93,359,0,0,40000,45000,30,30,0,3,4,7,0.0,0,0,28평,,,4억,"4억 5,000만",30만,30만,,,총 14세대 | 1개동 | 28평 | 2010년 준공,송파구,방이동,2025-09-12 22:43,제노비아,서울 송파구 방이동,서울 송파구 방이동 제노비아,서울 송파구 방이동 제노비아,37.51115393821267,127.1266249034956,원본 키워드 검색,서울 송파구 방이동 제노비아
주성아우라,115035,6,1,201612,73.07,73.07,249,0,0,0,0,0,0,0,0,0,0,0.0,0,0,22평,,,,,,,,,총 6세대 | 1개동 | 22평 | 2016년 준공,송파구,거여동,2025-09-12 22:44,주성아우라,서울 송파구 거여동,서울 송파구 거여동 주성아우라,서울 송파구 거여동 주성아우라,37.49892309667679,127.14734683274773,원본 키워드 검색,서울 송파구 거여동 주성아우라
수아주,148846,279,1,202208,26.56,26.66,799,15500,23000,17000,17000,40,100,41,2,53,96,109.7,-1500,1929,8평,"1억 5,500만","2억 3,000만","1억 7,000만","1억 7,000만",40만,100만,,"1,929만",총 279세대 | 1개동 | 8평 | 2022년 준공,송파구,거여동,2025-09-12 22:44,수아주,서울 송파구 거여동,서울 송파구 거여동 수아주,서울 송파구 거여동 수아주,37.4868116220601,127.143067100487,원본 키워드 검색,서울 송파구 거여동 수아주
명오피스텔,24127,40,1,200201,31.57,58.85,387,13500,14000,9000,11000,10,25,3,2,2,7,66.7,4500,1414,10~18평,"1억 3,500만","1억 4,000만","9,000만","1억 1,000만",10만,25만,"4,500만","1,414만",총 40세대 | 1개동 | 10~18평 | 2002년 준공,송파구,거여동,2025-09-12 22:44,명,서울 송파구 거여동,서울 송파구 거여동 명,서울 송파구 거여동 명오피스텔,37.49307990152229,127.13622872420194,원본 키워드 검색,서울 송파구 거여동 명오피스텔
미주엠씨타워,144017,23,1,202110,40.27,48.4,358,0,0,0,0,105,115,0,0,5,5,0.0,0,0,12~15평,,,,,105만,115만,,,총 23세대 | 1개동 | 12~15평 | 2021년 준공,송파구,거여동,2025-09-12 22:44,미주엠씨,서울 송파구 거여동,서울 송파구 거여동 미주엠씨,서울 송파구 거여동 미주엠씨타워,37.4944912794147,127.151439581181,원본 키워드 검색,서울 송파구 거여동 미주엠씨타워
거여팰리스,125897,24,1,201905,23.46,48.2,349,17000,34000,0,0,0,0,7,0,0,7,0.0,0,2396,7~15평,"1억 7,000만","3억 4,000만",,,,,,"2,396만",총 24세대 | 1개동 | 7~15평 | 2019년 준공,송파구,거여동,2025-09-12 22:44,거여,서울 송파구 거여동,서울 송파구 거여동 거여,서울 송파구 거여동 거여팰리스,37.4969242257404,127.143310298223,정제된 주소,서울 송파구 거여동 거여
우성르보아위례,156381,117,1,202306,124.76,139.81,599,49000,80000,43000,55000,155,200,35,19,23,77,87.8,6000,1298,38~42평,"4억 9,000만",8억,"4억 3,000만","5억 5,000만",155만,200만,"6,000만","1,298만",총 117세대 | 1개동 | 38~42평 | 2023년 준공,송파구,거여동,2025-09-12 22:44,우성르보아위례,서울 송파구 거여동,서울 송파구 거여동 우성르보아위례,서울 송파구 거여동 우성르보아위례,37.48553099354428,127.14181865216159,원본 키워드 검색,서울 송파구 거여동 우성르보아위례
SP센트리움시티,151910,3,1,202206,161.28,187.49,322,130000,130000,65000,75000,0,0,1,9,0,10,50.0,65000,2665,49~57평,13억,13억,"6억 5,000만","7억 5,000만",,,"6억 5,000만","2,665만",총 3세대 | 1개동 | 49~57평 | 2022년 준공,송파구,거여동,2025-09-12 22:44,SP센트리움,서울 송파구 거여동,서울 송파구 거여동 SP센트리움,서울 송파구 거여동 SP센트리움시티,37.4941659560239,127.143549282048,원본 키워드 검색,서울 송파구 거여동 SP센트리움시티
송파풍산리치안,147090,189,1,202203,55.89,55.89,598,18000,25000,20000,20000,60,90,23,4,31,58,111.1,-2000,1065,17평,"1억 8,000만","2억 5,000만",2억,2억,60만,90만,,"1,065만",총 189세대 | 1개동 | 17평 | 2022년 준공,송파구,거여동,2025-09-12 22:44,송파풍산리치안,서울 송파구 거여동,서울 송파구 거여동 송파풍산리치안,서울 송파구 거여동 송파풍산리치안,37.486204474061985,127.14221227374875,원본 키워드 검색,서울 송파구 거여동 송파풍산리치안
솔렌시아,116402,7,1,200312,59.85,136.48,395,0,0,0,0,0,0,0,0,0,0,0.0,0,0,18~41평,,,,,,,,,총 7세대 | 1개동 | 18~41평 | 2003년 준공,송파구,거여동,2025-09-12 22:44,솔렌시아,서울 송파구 거여동,서울 송파구 거여동 솔렌시아,서울 송파구 거여동 솔렌시아,37.4998648157153,127.143551143751,원본 키워드 검색,서울 송파구 거여동 솔렌시아
경원빌라트,102980,19,1,200009,85.68,85.68,398,33000,33000,29000,29000,30,30,1,1,1,3,87.9,4000,1273,26평,"3억 3,000만","3억 3,000만","2억 9,000만","2억 9,000만",30만,30만,"4,000만","1,273만",총 19세대 | 1개동 | 26평 | 2000년 준공,송파구,거여동,2025-09-12 22:44,경원빌라트,서울 송파구 거여동,서울 송파구 거여동 경원빌라트,서울 송파구 거여동 경원빌라트,37.492881946273904,127.13599768390213,원본 키워드 검색,서울 송파구 거여동 경원빌라트
아키스,18133,29,1,200210,29.04,58.06,295,30000,30000,0,0,70,70,1,0,1,2,0.0,0,3415,9~18평,3억,3억,,,70만,70만,,"3,415만",총 29세대 | 1개동 | 9~18평 | 2002년 준공,송파구,거여동,2025-09-12 22:44,아키스,서울 송파구 거여동,서울 송파구 거여동 아키스,서울 송파구 거여동 아키스,37.49303956723735,127.14875328478377,원본 키워드 검색,서울 송파구 거여동 아키스
대영,18127,28,1,200208,32.64,32.64,298,0,0,0,0,60,60,0,0,3,3,0.0,0,0,10평,,,,,60만,60만,,,총 28세대 | 1개동 | 10평 | 2002년 준공,송파구,거여동,2025-09-12 22:44,대영,서울 송파구 거여동,서울 송파구 거여동 대영,서울 송파구 거여동 대영,37.4921109168147,127.14923993842271,원본 키워드 검색,서울 송파구 거여동 대영
잭타워(민간임대),176817,14,1,202308,21.72,78.71,358,0,0,0,0,0,0,0,0,0,0,0.0,0,0,7~24평,,,,,,,,,총 14세대 | 1개동 | 7~24평 | 2023년 준공,송파구,거여동,2025-09-12 22:44,잭,서울 송파구 거여동,서울 송파구 거여동 잭,서울 송파구 거여동 잭타워(민간임대),37.4937427546094,127.144066378896,정제된 키워드 검색,서울 송파구 거여동 잭
송파헤븐시티더테라스,141017,99,1,202103,90.4,161.95,599,40000,88000,33600,38000,250,250,21,7,1,29,84.0,6400,1463,27~49평,4억,"8억 8,000만","3억 3,600만","3억 8,000만",250만,250만,"6,400만","1,463만",총 99세대 | 1개동 | 27~49평 | 2021년 준공,송파구,거여동,2025-09-12 22:44,송파헤븐시티더테라스,서울 송파구 거여동,서울 송파구 거여동 송파헤븐시티더테라스,서울 송파구 거여동 송파헤븐시티더테라스,37.48579318768475,127.14256652800415,원본 키워드 검색,서울 송파구 거여동 송파헤븐시티더테라스
아피체,156869,117,1,202308,108.84,144.68,597,56000,72000,45000,52000,170,210,23,11,10,44,80.4,11000,1701,33~44평,"5억 6,000만","7억 2,000만","4억 5,000만","5억 2,000만",170만,210만,"1억 1,000만","1,701만",총 117세대 | 1개동 | 33~44평 | 2023년 준공,송파구,거여동,2025-09-12 22:44,아피체,서울 송파구 거여동,서울 송파구 거여동 아피체,서울 송파구 거여동 아피체,37.48589121650747,127.1419685831919,원본 키워드 검색,서울 송파구 거여동 아피체
휴먼빌시티,122638,300,1,202006,51.53,66.52,599,17900,24000,18000,21500,5,120,36,3,31,70,100.6,-100,1148,16~20평,"1억 7,900만","2억 4,000만","1억 8,000만","2억 1,500만",5만,120만,,"1,148만",총 300세대 | 1개동 | 16~20평 | 2020년 준공,송파구,거여동,2025-09-12 22:44,휴먼빌,서울 송파구 거여동,서울 송파구 거여동 휴먼빌,서울 송파구 거여동 휴먼빌시티,37.486248753649114,127.14285119639261,원본 키워드 검색,서울 송파구 거여동 휴먼빌시티
씨엘타워,144193,15,1,202105,28.93,55.52,359,0,0,0,0,0,0,0,0,0,0,0.0,0,0,9~17평,,,,,,,,,총 15세대 | 1개동 | 9~17평 | 2021년 준공,송파구,거여동,2025-09-12 22:44,씨엘,서울 송파구 거여동,서울 송파구 거여동 씨엘,서울 송파구 거여동 씨엘타워,37.4943842197355,127.142623565906,원본 키워드 검색,서울 송파구 거여동 씨엘타워
인투파크거여2단지,129005,67,1,202006,54.02,54.02,294,30000,30000,0,0,25,25,1,0,1,2,0.0,0,1836,16평,3억,3억,,,25만,25만,,"1,836만",총 67세대 | 1개동 | 16평 | 2020년 준공,송파구,거여동,2025-09-12 22:44,인투파크거여2단지,서울 송파구 거여동,서울 송파구 거여동 인투파크거여2단지,서울 송파구 거여동 인투파크거여2단지,37.495732808613,127.145022361241,원본 키워드 검색,서울 송파구 거여동 인투파크거여2단지
인투파크거여1단지,129004,62,1,202006,51.41,51.41,299,28500,28500,0,0,0,0,1,0,0,1,0.0,0,1833,16평,"2억 8,500만","2억 8,500만",,,,,,"1,833만",총 62세대 | 1개동 | 16평 | 2020년 준공,송파구,거여동,2025-09-12 22:44,인투파크거여1단지,서울 송파구 거여동,서울 송파구 거여동 인투파크거여1단지,서울 송파구 거여동 인투파크거여1단지,37.495732808613,127.145022361241,원본 키워드 검색,서울 송파구 거여동 인투파크거여1단지
위례한화오벨리스크센트럴스퀘어,109467,321,3,201708,54.02,203.9,299,21000,115000,20000,20000,85,210,175,2,24,201,95.2,1000,1285,16~62평,"2억 1,000만","11억 5,000만",2억,2억,85만,210만,"1,000만","1,285만",총 321세대 | 3개동 | 16~62평 | 2017년 준공,송파구,장지동,2025-09-12 22:44,위례한화오벨리스크센트럴스퀘어,서울 송파구 장지동,서울 송파구 장지동 위례한화오벨리스크센트럴스퀘어,서울 송파구 장지동 위례한화오벨리스크센트럴스퀘어,37.47378506395031,127.14138608396546,원본 키워드 검색,서울 송파구 장지동 위례한화오벨리스크센트럴스퀘어
윤앤빌프리미엄Ⅰ,126246,6,1,201905,79.2,131.35,249,0,0,0,0,0,0,0,0,0,0,0.0,0,0,24~40평,,,,,,,,,총 6세대 | 1개동 | 24~40평 | 2019년 준공,송파구,송파동,2025-09-12 22:47,윤앤빌프리미엄Ⅰ,서울 송파구 송파동,서울 송파구 송파동 윤앤빌프리미엄Ⅰ,서울 송파구 송파동 윤앤빌프리미엄Ⅰ,37.50609292063,127.109579159297,기본 주소,서울 송파구 송파동
삼성베네스트,124496,4,1,201812,81.28,82.53,249,0,0,0,0,0,0,0,0,0,0,0.0,0,0,25평,,,,,,,,,총 4세대 | 1개동 | 25평 | 2018년 준공,송파구,송파동,2025-09-12 22:47,삼성베네스트,서울 송파구 송파동,서울 송파구 송파동 삼성베네스트,서울 송파구 송파동 삼성베네스트,37.49860456825987,127.1198840538501,원본 키워드 검색,서울 송파구 송파동 삼성베네스트
에스아이팰리스레이크잠실,143273,27,1,202107,39.47,41.22,359,45000,50000,36000,36000,160,160,24,9,3,36,80.0,9000,3769,12평,"4억 5,000만",5억,"3억 6,000만","3억 6,000만",160만,160만,"9,000만","3,769만",총 27세대 | 1개동 | 12평 | 2021년 준공,송파구,송파동,2025-09-12 22:47,에스아이팰리스레이크잠실,서울 송파구 송파동,서울 송파구 송파동 에스아이팰리스레이크잠실,서울 송파구 송파동 에스아이팰리스레이크잠실,37.5057716341273,127.109177190822,원본 키워드 검색,서울 송파구 송파동 에스아이팰리스레이크잠실
사로말,18123,57,1,200303,31.63,31.63,299,0,0,0,0,0,0,0,0,0,0,0.0,0,0,10평,,,,,,,,,총 57세대 | 1개동 | 10평 | 2003년 준공,송파구,송파동,2025-09-12 22:47,사로말,서울 송파구 송파동,서울 송파구 송파동 사로말,서울 송파구 송파동 사로말,37.49877141234154,127.11972825954965,원본 키워드 검색,서울 송파구 송파동 사로말
레이크빌,103624,16,1,200412,34.93,35.74,299,0,0,0,0,0,0,0,0,0,0,0.0,0,0,11평,,,,,,,,,총 16세대 | 1개동 | 11평 | 2004년 준공,송파구,송파동,2025-09-12 22:47,레이크빌,서울 송파구 송파동,서울 송파구 송파동 레이크빌,서울 송파구 송파동 레이크빌,37.5107228455286,127.106998067978,원본 키워드 검색,서울 송파구 송파동 레이크빌
동광팰리스(86-1),131663,12,1,201608,51.15,51.15,359,30000,35000,0,0,0,0,4,0,0,4,0.0,0,1939,15평,3억,"3억 5,000만",,,,,,"1,939만",총 12세대 | 1개동 | 15평 | 2016년 준공,송파구,송파동,2025-09-12 22:47,동광,서울 송파구 송파동,서울 송파구 송파동 동광,서울 송파구 송파동 동광팰리스(86-1),37.5091423016653,127.11299933814,정제된 키워드 검색,서울 송파구 송파동 동광
넥스빌,103079,12,1,200111,36.33,36.33,343,0,0,0,0,0,0,0,0,0,0,0.0,0,0,11평,,,,,,,,,총 12세대 | 1개동 | 11평 | 2001년 준공,송파구,송파동,2025-09-12 22:47,넥스빌,서울 송파구 송파동,서울 송파구 송파동 넥스빌,서울 송파구 송파동 넥스빌,37.50481628612505,127.10850626635902,원본 키워드 검색,서울 송파구 송파동 넥스빌
더헬리오246(민간임대),163897,36,1,202312,36.55,75.92,235,0,0,0,0,0,0,0,0,0,0,0.0,0,0,11~23평,,,,,,,,,총 36세대 | 1개동 | 11~23평 | 2023년 준공,송파구,송파동,2025-09-12 22:47,더헬리오246,서울 송파구 송파동,서울 송파구 송파동 더헬리오246,서울 송파구 송파동 더헬리오246(민간임대),37.50609292063,127.109579159297,기본 주소,서울 송파구 송파동
실크빌,107096,30,1,200412,24.16,156.57,357,0,0,0,0,0,0,0,0,0,0,0.0,0,0,7~47평,,,,,,,,,총 30세대 | 1개동 | 7~47평 | 2004년 준공,송파구,송파동,2025-09-12 22:47,실크빌,서울 송파구 송파동,서울 송파구 송파동 실크빌,서울 송파구 송파동 실크빌,37.50545964507346,127.10547617631899,원본 키워드 검색,서울 송파구 송파동 실크빌
석촌트럼프월드,120591,18,1,201604,28.88,53.78,359,0,0,0,0,0,0,0,0,0,0,0.0,0,0,9~16평,,,,,,,,,총 18세대 | 1개동 | 9~16평 | 2016년 준공,송파구,송파동,2025-09-12 22:47,석촌트럼프월드,서울 송파구 송파동,서울 송파구 송파동 석촌트럼프월드,서울 송파구 송파동 석촌트럼프월드,37.50565474488881,127.10594354595928,원본 키워드 검색,서울 송파구 송파동 석촌트럼프월드
한솔파크빌,162338,4,1,200209,61.15,80.21,310,0,0,0,0,0,0,0,0,0,0,0.0,0,0,18~24평,,,,,,,,,총 4세대 | 1개동 | 18~24평 | 2002년 준공,송파구,송파동,2025-09-12 22:47,한솔파크빌,서울 송파구 송파동,서울 송파구 송파동 한솔파크빌,서울 송파구 송파동 한솔파크빌,37.50652680675899,127.10805521340644,원본 키워드 검색,서울 송파구 송파동 한솔파크빌
